Feature ID	Taxon
1	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
2	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalispira;
3	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
4	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
5	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
6	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
7	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
8	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Sinorhizobium;
9	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
10	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
11	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
12	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
13	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
14	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
15	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
16	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
17	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
18	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
19	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
20	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
21	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
22	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
23	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
24	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
25	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
26	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
27	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
28	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
29	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
30	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
31	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
32	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
33	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
34	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
35	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
36	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
37	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
38	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;
39	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
40	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
41	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
42	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;
43	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
44	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
45	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
46	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
47	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
48	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
49	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
50	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
51	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
52	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
53	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
54	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
55	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
56	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
57	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
58	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
59	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;
60	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Roseateles;
61	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;
62	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;
63	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;
64	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
65	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
66	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
67	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
68	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
69	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
70	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
71	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
72	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
73	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
74	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
75	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
76	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
77	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
78	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
79	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
80	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
81	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
82	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
83	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
84	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
85	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
86	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
87	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
88	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
89	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
90	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
91	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
92	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
93	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
94	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
95	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
96	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
97	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
98	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
99	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
100	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
101	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
102	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
103	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
104	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
105	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
106	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
107	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
108	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
109	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
