Feature ID	Taxon	Confidence
#q2:types	categorical	categorical
M02808:184:000000000-LYVHM:1:1112:5736:9687;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus massiliensis	0.9999860297856584
M02808:184:000000000-LYVHM:1:1112:4018:13665;sample=SF1_B1_T0_R1_001.fastq;	d__Bacteria;k__Bacillati	0.9766288665554805
M02808:184:000000000-LYVHM:1:1109:8887:15227;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium	0.9529825793471981
M02808:184:000000000-LYVHM:1:1105:24855:15331;sample=SF1_B1_T0_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus sp. R-45815	0.998831081117697
M02808:184:000000000-LYVHM:1:2103:19169:25788;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Cyanobacteriota/Melainabacteria group;c__Cyanobacteriota;o__Cyanophyceae;f__Nostocales;g__Hapalosiphonaceae	0.8780792085384068
M02808:184:000000000-LYVHM:1:1111:14149:23802;sample=SF1_B1_T0_R1_001.fastq;	d__Bacteria	0.999999999999998
M02808:184:000000000-LYVHM:1:1104:6630:20858;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus massiliensis	0.9999998904344584
M02808:184:000000000-LYVHM:1:2114:2889:20608;sample=SF1_B2_T4_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium	0.9341223027313321
M02808:184:000000000-LYVHM:1:1110:17102:25225;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus massiliensis	0.9999999969157614
M02808:184:000000000-LYVHM:1:2107:18289:7556;sample=SF1_B2_T4_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. Kas104-4	0.9688805839342104
M02808:184:000000000-LYVHM:1:1102:14791:8603;sample=SF1_B2_T0_R1_001.fastq;	d__Bacteria	0.9999999999999998
M02808:184:000000000-LYVHM:1:2103:20115:12928;sample=SF1_B2_T0_Root_R1_001.fastq;	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium	0.9997272655478908
M02808:184:000000000-LYVHM:1:1101:22998:15741;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;k__Bacillati	0.7376122881596532
M02808:184:000000000-LYVHM:1:2104:18425:14356;sample=SF1_B2_T0_R1_001.fastq;	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales	0.7001072921656701
M02808:184:000000000-LYVHM:1:2112:4718:20490;sample=SF1_B3_T4_Root_R1_001.fastq;	d__Bacteria;k__Bacillati	0.9781801749841983
M02808:184:000000000-LYVHM:1:1114:14509:9860;sample=SF1_B2_T0_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus borealis	0.974353215299472
M02808:184:000000000-LYVHM:1:1105:11649:25725;sample=SF1_B1_T4_Root_R1_001.fastq;	d__Bacteria	0.9999999999999925
M02808:184:000000000-LYVHM:1:1110:8948:22936;sample=SF1_B3_T0_Root_R1_001.fastq;	d__Bacteria	1.000000000000011
M02808:184:000000000-LYVHM:1:2105:7010:10341;sample=SF2_B2_T0_R1_001.fastq;	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum E4 str. BoNT E BL5262	0.9212593036429869
