Feature ID	Taxon	Confidence
#q2:types	categorical	categorical
M02808:184:000000000-LYVHM:1:1112:5736:9687;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9999917758018426
M02808:184:000000000-LYVHM:1:1112:4018:13665;sample=SF1_B1_T0_R1_001.fastq;	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mobilitalea;s__Mobilitalea	0.7798184157463348
M02808:184:000000000-LYVHM:1:1109:8887:15227;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AD;s__Clostridium_AD	0.9914166849605511
M02808:184:000000000-LYVHM:1:1105:24855:15331;sample=SF1_B1_T0_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9999999991659649
M02808:184:000000000-LYVHM:1:2103:19169:25788;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9999583327532574
M02808:184:000000000-LYVHM:1:1111:14149:23802;sample=SF1_B1_T0_R1_001.fastq;	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__UBA4719	0.9999315768994979
M02808:184:000000000-LYVHM:1:1104:6630:20858;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.99999845734251
M02808:184:000000000-LYVHM:1:2114:2889:20608;sample=SF1_B2_T4_R1_001.fastq;	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AD;s__Clostridium_AD	0.9228706262003853
M02808:184:000000000-LYVHM:1:1110:17102:25225;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.999997445836947
M02808:184:000000000-LYVHM:1:2107:18289:7556;sample=SF1_B2_T4_R1_001.fastq;	d__Bacteria;p__Bacillota_A;c__Clostridia	0.7858292099130271
M02808:184:000000000-LYVHM:1:1102:14791:8603;sample=SF1_B2_T0_R1_001.fastq;	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__UBA4719	0.9999837772514275
M02808:184:000000000-LYVHM:1:2103:20115:12928;sample=SF1_B2_T0_Root_R1_001.fastq;	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium	0.9769535268369232
M02808:184:000000000-LYVHM:1:1101:22998:15741;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9723218997961601
M02808:184:000000000-LYVHM:1:2104:18425:14356;sample=SF1_B2_T0_R1_001.fastq;	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium	0.9727787946428921
M02808:184:000000000-LYVHM:1:2112:4718:20490;sample=SF1_B3_T4_Root_R1_001.fastq;	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Propionisporales;f__DSM-13327;g__Pelosinus;s__Pelosinus	0.9999988868084643
M02808:184:000000000-LYVHM:1:1114:14509:9860;sample=SF1_B2_T0_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9999371046060227
M02808:184:000000000-LYVHM:1:1105:11649:25725;sample=SF1_B1_T4_Root_R1_001.fastq;	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__UBA4719	0.9994621481993514
M02808:184:000000000-LYVHM:1:1110:8948:22936;sample=SF1_B3_T0_Root_R1_001.fastq;	d__Archaea	0.9394332691733208
M02808:184:000000000-LYVHM:1:2105:7010:10341;sample=SF2_B2_T0_R1_001.fastq;	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AD;s__Clostridium_AD	0.9999996294945509
M02808:184:000000000-LYVHM:1:2102:12751:25137;sample=SF1_B1_T0_Root_R1_001.fastq;	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;g__JACRCG01;s__JACRCG01	0.960366607057925
M02808:184:000000000-LYVHM:1:1102:5204:17077;sample=SF1_B1_T4_Root_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9957681135725261
M02808:184:000000000-LYVHM:1:2101:16382:7875;sample=SF1_B1_T4_R1_001.fastq;	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nodularia;s__Nodularia	0.8708629350739651
M02808:184:000000000-LYVHM:1:1112:21963:18961;sample=SF1_B3_T4_Root_R1_001.fastq;	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales	0.7415310110124866
M02808:184:000000000-LYVHM:1:1105:11280:24479;sample=SF1_B1_T4_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9999449430531961
M02808:184:000000000-LYVHM:1:1108:14591:11287;sample=SF3_B2_T4_Root_R1_001.fastq;	d__Archaea	0.765698807895779
M02808:184:000000000-LYVHM:1:1104:12926:14519;sample=SF3_B3_T4_Root_R1_001.fastq;	Unassigned	0.4738512375105052
M02808:184:000000000-LYVHM:1:1111:18867:8540;sample=SF1_B1_T4_R1_001.fastq;	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__UBA4719	0.9996980636772462
M02808:184:000000000-LYVHM:1:1111:11109:24249;sample=SF1_B3_T0_Root_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9998811873346051
M02808:184:000000000-LYVHM:1:1102:26228:14677;sample=SF3_B1_T4_Root_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9999884193101523
M02808:184:000000000-LYVHM:1:1108:25856:10485;sample=SF4_B1_T4_Root_R1_001.fastq;	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus	0.9999644589130534
M02808:184:000000000-LYVHM:1:1102:23857:21552;sample=SF1_B1_T4_Root_R1_001.fastq;	Unassigned	0.3964062638757442
