#OTU ID	SF1_B1_T0_R1_001.fastq	SF1_B1_T0_Root_R1_001.fastq	SF1_B1_T4_R1_001.fastq	SF1_B1_T4_Root_R1_001.fastq	SF1_B2_T0_R1_001.fastq	SF1_B2_T0_Root_R1_001.fastq	SF1_B2_T4_R1_001.fastq	SF1_B2_T4_Root_R1_001.fastq	SF1_B3_T0_R1_001.fastq	SF1_B3_T0_Root_R1_001.fastq	SF1_B3_T4_Root_R1_001.fastq	SF1_B4_T0_R1_001.fastq	SF1_B4_T0_Root_R1_001.fastq	SF1_B4_T4_R1_001.fastq	SF1_B4_T4_Root_R1_001.fastq	SF2_B1_T0_R1_001.fastq	SF2_B1_T4_R1_001.fastq	SF2_B1_T4_Root_R1_001.fastq	SF2_B2_T0_R1_001.fastq	SF2_B2_T4_R1_001.fastq	SF2_B2_T4_Root_R1_001.fastq	SF2_B3_T0_R1_001.fastq	SF2_B3_T4_R1_001.fastq	SF2_B3_T4_Root_R1_001.fastq	SF2_B4_T0_R1_001.fastq	SF2_B4_T4_R1_001.fastq	SF2_B4_T4_Root_R1_001.fastq	SF3_B1_T0_R1_001.fastq	SF3_B1_T0_Root_R1_001.fastq	SF3_B1_T4_R1_001.fastq	SF3_B1_T4_Root_R1_001.fastq	SF3_B2_T0_R1_001.fastq	SF3_B2_T0_Root_R1_001.fastq	SF3_B2_T4_R1_001.fastq	SF3_B2_T4_Root_R1_001.fastq	SF3_B3_T0_R1_001.fastq	SF3_B3_T0_Root_R1_001.fastq	SF3_B3_T4_R1_001.fastq	SF3_B3_T4_Root_R1_001.fastq	SF3_B4_T0_R1_001.fastq	SF3_B4_T0_Root_R1_001.fastq	SF3_B4_T4_R1_001.fastq	SF3_B4_T4_Root_R1_001.fastq	SF4_B1_T0_R1_001.fastq	SF4_B1_T4_R1_001.fastq	SF4_B1_T4_Root_R1_001.fastq	SF4_B2_T0_R1_001.fastq	SF4_B2_T4_R1_001.fastq	SF4_B2_T4_Root_R1_001.fastq	SF4_B3_T0_R1_001.fastq	SF4_B3_T4_R1_001.fastq	SF4_B3_T4_Root_R1_001.fastq	Sf4_B4_T0_R1_001.fastq	SF4_B4_T4_R1_001.fastq	SF4_B4_T4_Root_R1_001.fastq	SF6_B1_T0_R1_001.fastq	SF6_B1_T4_R1_001.fastq	SF6_B1_T4_Root_R1_001.fastq	SF6_B2_T0_R1_001.fastq	SF6_B2_T4_R1_001.fastq	SF6_B2_T4_Root_R1_001.fastq	SF6_B3_T0_R1_001.fastq	SF6_B3_T4_R1_001.fastq	SF6_B3_T4_Root_R1_001.fastq	SF6_B4_T0_R1_001.fastq	SF6_B4_T4_R1_001.fastq	SF6_B4_T4_Root_R1_001.fastq	SF8_B1_T0_R1_001.fastq	SF8_B1_T0_Root_R1_001.fastq	SF8_B1_T4_R1_001.fastq	SF8_B1_T4_Root_R1_001.fastq	SF8_B2_T0_R1_001.fastq	SF8_B2_T0_Root_R1_001.fastq	SF8_B2_T4_R1_001.fastq	SF8_B2_T4_Root_R1_001.fastq	SF8_B3_T0_R1_001.fastq	SF8_B3_T0_Root_R1_001.fastq	SF8_B3_T4_R1_001.fastq	SF8_B3_T4_Root_R1_001.fastq	SF8_B4_T0_R1_001.fastq	SF8_B4_T0_Root_R1_001.fastq	SF8_B4_T4_R1_001.fastq	SF8_B4_T4_Root_R1_001.fastq
M02808:184:000000000-LYVHM:1:2103:20115:12928	22	151	0	55	22	54	39	65	64	25	76	253	31	220	118	0	79	83	161	63	79	146	1055	66	685	78	121	327	35	53	137	180	57	102	63	329	86	1141	49	363	600	474	95	108	78	55	82	1	165	281	66	70	123	172	54	30	4	69	136	43	49	35	121	72	34	17	68	0	91	0	117	104	72	0	34	0	75	0	62	29	67	44	77
M02808:184:000000000-LYVHM:1:1111:14149:23802	370	154	638	196	460	163	282	211	665	116	286	171	203	148	367	311	489	570	485	684	178	458	560	158	273	106	679	534	191	426	304	465	156	241	185	324	347	495	203	509	241	396	161	236	311	169	102	5	456	359	290	197	316	195	200	63	20	161	92	209	101	98	297	177	63	61	126	40	215	0	198	0	157	2	176	7	153	1	195	28	383	131	125
M02808:184:000000000-LYVHM:1:1113:7219:21383	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1101:9112:9192	23	0	0	3	4	0	2	3	0	2	0	12	0	14	0	0	0	0	9	0	0	2	2	0	3	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02808:184:000000000-LYVHM:1:1113:28072:16370	26	1	34	1	33	12	7	3	11	0	0	29	10	2	4	22	11	4	9	14	2	20	26	0	16	6	0	6	0	7	17	28	4	11	0	11	3	21	2	13	5	6	9	7	5	0	5	0	5	5	6	3	9	0	0	0	0	5	9	3	1	5	3	4	5	0	0	0	1	0	2	0	5	0	0	0	0	0	1	0	2	1	4
M02808:184:000000000-LYVHM:1:1101:22998:15741	31	72	0	227	80	254	55	111	63	57	167	3	161	85	112	31	29	161	19	0	20	27	0	20	21	71	224	87	170	7	290	85	76	211	168	14	69	0	8	4	326	4	200	45	53	34	27	2	253	2	67	143	3	99	269	13	11	167	46	19	125	0	98	191	63	37	96	0	98	100	127	133	157	168	201	4	292	0	157	0	26	81	300
M02808:184:000000000-LYVHM:1:2112:27613:15078	21	27	0	64	1	30	17	22	35	73	31	2	3	39	13	3	0	48	20	0	56	9	16	23	4	3	8	7	35	0	23	13	94	0	47	9	40	5	44	0	70	0	13	0	0	33	7	0	20	10	6	29	7	38	35	11	0	13	0	17	87	0	3	35	0	4	7	0	17	0	17	0	11	0	6	0	27	0	32	0	44	19	9
M02808:184:000000000-LYVHM:1:2107:18289:7556	130	28	29	64	42	96	230	229	80	153	268	139	143	35	166	0	55	138	201	142	144	74	43	151	191	16	84	148	17	159	67	119	282	336	80	69	263	136	172	61	57	53	218	81	74	58	67	0	514	23	149	36	67	16	80	93	2	51	114	71	254	137	241	135	86	145	107	35	133	34	73	0	101	35	149	24	144	0	189	38	213	205	18
M02808:184:000000000-LYVHM:1:1105:24520:7009	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
M02808:184:000000000-LYVHM:1:1105:11649:25725	159	37	373	40	161	28	41	24	101	24	35	106	45	22	42	168	308	68	241	522	25	158	187	37	108	24	98	309	44	247	57	174	36	101	20	88	57	226	32	132	89	190	52	220	112	22	86	1	39	152	61	35	236	43	28	39	3	17	38	34	29	35	65	26	42	9	22	15	45	5	66	0	34	0	37	2	29	0	28	9	45	24	8
