Feature ID	Taxon
AAEW02000007	d__Bacteria;k__Pseudomonadati;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas acetoxidans DSM 684
AASE01000001	d__Bacteria;k__Pseudomonadati;p__FCB group;c__Bacteroidota/Chlorobiota group;o__Chlorobiota;f__Chlorobiia;g__Chlorobiales;s__Chlorobium ferrooxidans DSM 13031
AAVW01000011	d__Bacteria;k__Bacillati;p__Cyanobacteriota/Melainabacteria group;c__Cyanobacteriota;o__Cyanophyceae;f__Nostocales;g__Nodulariaceae;s__Nodularia spumigena CCY9414
AB052653	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia marcescens
AB079615	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. IRBG 2
AB079616	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. IRBG 228
AB079617	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. IRBG 230
AB079618	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. BTAi1
AB079619	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium japonicum
AB079620	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. MAFF 210318
AB079621	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Cereibacter;s__Cereibacter azotoformans
AB079622	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacter group;g__Rhodobacter;s__Rhodobacter sp. AP-10
AB079623	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris
AB079624	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas sp. HMD88
AB079625	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas sp. HMD89
AB079626	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris
AB079627	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas sp. 99D
AB079628	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Rhodovulum;s__Rhodovulum strictum
AB079629	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Rhodovulum;s__Rhodovulum strictum
AB079630	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Rhodovulum;s__Rhodovulum sulfidophilum
AB079631	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Rhodovulum;s__Rhodovulum sp. CP-10
AB079632	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Pseudogemmobacter;s__Fuscovulum blasticum DSM 2131
AB079690	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium japonicum
AB089483	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Derxia;s__Derxia gummosa
AB089484	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Derxia;s__Derxia gummosa
AB094963	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium elkanii USDA 76
AB100830	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliobacterium;s__Heliobacterium chlorum
AB100831	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliobacterium;s__Heliobacterium mobile
AB100832	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobium modesticaldum Ice1
AB100833	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliorestis;s__Heliorestis baculata
AB100834	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobium gestii
AB112406	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobium gestii
AB126254	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobium gestii
AB161454	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__Pleomorphomonas oryzae
AB182910	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__Pleomorphomonas oryzae
AB182911	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__Pleomorphomonas oryzae
AB182912	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__Pleomorphomonas oryzae
AB182913	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__Pleomorphomonas oryzae
AB182914	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__Pleomorphomonas oryzae
AB185395	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum oryzae
AB188119	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Rubrivivax;s__Rubrivivax gelatinosus
AB188120	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Roseateles;s__Roseateles saccharophilus
AB188121	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Azohydromonas;s__Azohydromonas australica
AB188122	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Azohydromonas;s__Azohydromonas lata
AB188123	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Derxia;s__Derxia gummosa
AB189453	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas azotifigens
AB189641	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Halorhodospira;s__Halorhodospira halophila
AB191041	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliobacterium;s__Heliobacterium chlorum
AB191042	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobium gestii
AB191043	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobium modesticaldum Ice1
AB191044	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliobacterium;s__Heliobacterium mobile
AB191045	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliorestis;s__Heliorestis baculata
AB191046	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliorestis;s__Heliorestis daurensis
AB196476	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum;s__Herbaspirillum sp. B501
AB196525	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliobacterium;s__Heliobacterium chlorum
AB201045	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Zoogloea;s__Zoogloea oryzae
AB201046	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Zoogloea;s__Zoogloea oryzae
AB201627	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Azohydromonas;s__Azohydromonas lata
AB217474	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas azotifigens
AB233495	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Amorphomonas;s__Amorphomonas oryzae
AB236339	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. Kas107-1
AB236340	d__Bacteria;k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. Kas107-1
AB241412	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas oryzae
AB241413	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas lichen
AB241414	d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas faecalis
AB264105	d__Bacteria;k__Bacillati;p__Cyanobacteriota/Melainabacteria group;c__Cyanobacteriota;o__Cyanophyceae;f__Oscillatoriophycideae;g__Chroococcales;s__Crocosphaera sp. 1 str. KO38CU6
AB264106	d__Bacteria;k__Bacillati;p__Cyanobacteriota/Melainabacteria group;c__Cyanobacteriota;o__Cyanophyceae;f__Oscillatoriophycideae;g__Chroococcales;s__Zehria sp. SK40
AB264107	d__Bacteria;k__Bacillati;p__Cyanobacteriota/Melainabacteria group;c__Cyanobacteriota;o__Cyanophyceae;f__Oscillatoriophycideae;g__Chroococcales;s__Zehria sp. KO11DG
AB264108	d__Bacteria;k__Bacillati;p__Cyanobacteriota/Melainabacteria group;c__Cyanobacteriota;o__Cyanophyceae;f__Oscillatoriophycideae;g__Chroococcales;s__Crocosphaera sp. 1 str. KO20B5
AB264109	d__Bacteria;k__Bacillati;p__Cyanobacteriota/Melainabacteria group;c__Cyanobacteriota;o__Cyanophyceae;f__Oscillatoriophycideae;g__Chroococcales;s__Crocosphaera sp. 1 str. KO30D1
